year,month,day,hours,minutes,seconds 
2016,4,1,18,0,13 
2016,4,1,18,0,43 
2016,4,1,18,1,13 
2016,4,1,18,1,43 
2016,4,1,18,2,13 
2016,4,1,18,2,43 
2016,4,1,18,3,13 
2016,4,1,18,3,43 
2016,4,1,18,4,13 
2016,4,1,18,4,43 
2016,4,1,18,5,13 
2016,4,1,18,5,43 
2016,4,1,18,6,13 
2016,4,1,18,6,43 
2016,4,1,18,7,13 
2016,4,1,18,7,43 
2016,4,1,18,8,13 
2016,4,1,18,8,43 
2016,4,1,18,9,13 
2016,4,1,18,9,43 
2016,4,1,18,10,13 
2016,4,1,18,10,43 
2016,4,1,18,11,13 
2016,4,1,18,11,43 
2016,4,1,18,12,13 
2016,4,1,18,12,43 
2016,4,1,18,13,13 
2016,4,1,18,13,43 
2016,4,1,18,14,13 
2016,4,1,18,14,43 
2016,4,1,18,15,13 
2016,4,1,18,15,43 
2016,4,1,18,16,13 
2016,4,1,18,16,43 
2016,4,1,18,17,13 
2016,4,1,18,17,43 
2016,4,1,18,18,13 
2016,4,1,18,18,43 
2016,4,1,18,19,13 
2016,4,1,18,19,43 
2016,4,1,18,20,13 
2016,4,1,18,20,43 
2016,4,1,18,21,13 
2016,4,1,18,21,43 
2016,4,1,18,22,13 
2016,4,1,18,22,43 
2016,4,1,18,23,13 
2016,4,1,18,23,43 
2016,4,1,18,24,13 
2016,4,1,18,24,43 
2016,4,1,18,25,13 
2016,4,1,18,25,43 
2016,4,1,18,26,13 
2016,4,1,18,26,43 
2016,4,1,18,27,13 
2016,4,1,18,27,43 
2016,4,1,18,28,13 
2016,4,1,18,28,43 
2016,4,1,18,29,13 
2016,4,1,18,29,43 
2016,4,1,18,30,13 
2016,4,1,18,30,43 
2016,4,1,18,31,13 
2016,4,1,18,31,43 
2016,4,1,18,32,13 
2016,4,1,18,32,43 
2016,4,1,18,33,13 
2016,4,1,18,33,43 
2016,4,1,18,34,13 
2016,4,1,18,34,43 
2016,4,1,18,35,13 
2016,4,1,18,35,43 
2016,4,1,18,36,13 
2016,4,1,18,36,43 
2016,4,1,18,37,13 
2016,4,1,18,37,43 
2016,4,1,18,38,13 
2016,4,1,18,38,43 
2016,4,1,18,39,13 
2016,4,1,18,39,43 
2016,4,1,18,40,13 
2016,4,1,18,40,43 
2016,4,1,18,41,13 
2016,4,1,18,41,43 
2016,4,1,18,42,13 
2016,4,1,18,42,43 
2016,4,1,18,43,13 
2016,4,1,18,43,43 
2016,4,1,18,44,13 
2016,4,1,18,44,43 
2016,4,1,18,45,13 
2016,4,1,18,45,43 
2016,4,1,18,46,13 
2016,4,1,18,46,43 
2016,4,1,18,47,13 
2016,4,1,18,47,43 
2016,4,1,18,48,13 
2016,4,1,18,48,43 
2016,4,1,18,49,13 
2016,4,1,18,49,43 
2016,4,1,18,50,13 
2016,4,1,18,50,43 
2016,4,1,18,50,44 
2016,4,1,18,50,46 
2016,4,1,18,50,48 
2016,4,1,18,50,49 
2016,4,1,18,51,13 
2016,4,1,18,51,43 
2016,4,1,18,52,13 
2016,4,1,18,52,43 
2016,4,1,18,53,13 
2016,4,1,18,53,43 
2016,4,1,18,54,13 
2016,4,1,18,54,43 
2016,4,1,18,55,13 
2016,4,1,18,55,43 
2016,4,1,18,56,13 
2016,4,1,18,56,43 
2016,4,1,18,57,13 
2016,4,1,18,57,43 
2016,4,1,18,58,13 
2016,4,1,18,58,43 
2016,4,1,18,59,13 
2016,4,1,18,59,43 
